,Product Name,Product SKU ID,Product Price,Product Category,Product Image URL,Product Rating,Product Stock,Product Reorder Point,Stockout Flag
24,"Tyler, Wolf And Hamilton Skirt S",SKU-BTM-009-S,405.03,Bottoms,https://picsum.photos/791/241,2.5,1,3,1
25,"Tyler, Wolf And Hamilton Skirt M",SKU-BTM-009-M,405.03,Bottoms,https://picsum.photos/791/241,4.4,7,5,0
26,"Tyler, Wolf And Hamilton Skirt L",SKU-BTM-009-L,405.03,Bottoms,https://picsum.photos/791/241,2.2,0,6,1
27,Rosario-Bruce Flats S,SKU-FOT-010-S,479.85,Footwear,https://placekitten.com/812/183,2.0,9,4,0
28,Rosario-Bruce Flats M,SKU-FOT-010-M,479.85,Footwear,https://placekitten.com/812/183,1.2,10,2,0
29,Rosario-Bruce Flats L,SKU-FOT-010-L,479.85,Footwear,https://placekitten.com/812/183,1.6,10,5,0
30,"Olsen, Good And Clark Sandals S",SKU-FOT-011-S,52.33,Footwear,https://picsum.photos/504/95,3.0,9,4,0
31,"Olsen, Good And Clark Sandals M",SKU-FOT-011-M,52.33,Footwear,https://picsum.photos/504/95,4.8,7,4,0
32,"Olsen, Good And Clark Sandals L",SKU-FOT-011-L,52.33,Footwear,https://picsum.photos/504/95,1.8,5,4,0
33,"Bauer, Nichols And Allen Maxi Dress S",SKU-ONP-012-S,357.1,Dresses/One-Pieces,https://dummyimage.com/416x929,3.8,4,4,0
34,"Bauer, Nichols And Allen Maxi Dress M",SKU-ONP-012-M,357.1,Dresses/One-Pieces,https://dummyimage.com/416x929,1.7,8,6,0
35,"Bauer, Nichols And Allen Maxi Dress L",SKU-ONP-012-L,357.1,Dresses/One-Pieces,https://dummyimage.com/416x929,3.5,4,2,0
36,"Davis, Gibson And Mccullough Sneakers S",SKU-FOT-013-S,297.12,Footwear,https://picsum.photos/867/59,4.9,7,6,0
37,"Davis, Gibson And Mccullough Sneakers M",SKU-FOT-013-M,297.12,Footwear,https://picsum.photos/867/59,1.2,7,4,0
38,"Davis, Gibson And Mccullough Sneakers L",SKU-FOT-013-L,297.12,Footwear,https://picsum.photos/867/59,3.8,4,5,1
39,Dodson-Smith Sweater S,SKU-TOP-014-S,373.96,Tops,https://placekitten.com/232/411,1.7,0,6,1
40,Dodson-Smith Sweater M,SKU-TOP-014-M,373.96,Tops,https://placekitten.com/232/411,4.3,10,5,0
41,Dodson-Smith Sweater L,SKU-TOP-014-L,373.96,Tops,https://placekitten.com/232/411,1.7,4,3,0
42,Morgan Inc Shorts S,SKU-BTM-015-S,484.38,Bottoms,https://picsum.photos/280/340,2.1,5,4,0
43,Morgan Inc Shorts M,SKU-BTM-015-M,484.38,Bottoms,https://picsum.photos/280/340,4.8,1,4,1
44,Morgan Inc Shorts L,SKU-BTM-015-L,484.38,Bottoms,https://picsum.photos/280/340,1.8,2,5,1
45,Rodriguez And Sons Trench Coat S,SKU-OUT-016-S,71.08,Outerwear,https://placekitten.com/722/758,2.4,2,3,1
46,Rodriguez And Sons Trench Coat M,SKU-OUT-016-M,71.08,Outerwear,https://placekitten.com/722/758,4.2,2,3,1
47,Rodriguez And Sons Trench Coat L,SKU-OUT-016-L,71.08,Outerwear,https://placekitten.com/722/758,4.1,4,4,0
48,Brooks Inc Shorts S,SKU-BTM-017-S,210.67,Bottoms,https://placekitten.com/929/471,1.1,9,6,0
49,Brooks Inc Shorts M,SKU-BTM-017-M,210.67,Bottoms,https://placekitten.com/929/471,4.4,9,2,0
