,Product Name,Product SKU ID,Product Price,Product Category,Product Image URL,Product Rating,Product Stock,Product Reorder Point,Stockout Flag
25,Vasquez Inc Coat M,SKU-OUT-009-M,151.22,Outerwear,https://dummyimage.com/960x835,4.7,3,4,1
26,Vasquez Inc Coat L,SKU-OUT-009-L,151.22,Outerwear,https://dummyimage.com/960x835,4.9,1,2,1
27,Mayo-Walters Flats S,SKU-FOT-010-S,71.35,Footwear,https://placekitten.com/965/747,2.3,6,6,0
28,Mayo-Walters Flats M,SKU-FOT-010-M,71.35,Footwear,https://placekitten.com/965/747,1.6,5,6,1
29,Mayo-Walters Flats L,SKU-FOT-010-L,71.35,Footwear,https://placekitten.com/965/747,3.0,8,6,0
30,Campos Llc Maxi Dress S,SKU-ONP-011-S,129.51,Dresses/One-Pieces,https://picsum.photos/539/996,4.5,7,3,0
31,Campos Llc Maxi Dress M,SKU-ONP-011-M,129.51,Dresses/One-Pieces,https://picsum.photos/539/996,4.3,9,2,0
32,Campos Llc Maxi Dress L,SKU-ONP-011-L,129.51,Dresses/One-Pieces,https://picsum.photos/539/996,1.7,7,2,0
33,"Sanders, Flores And Rosario Blazer S",SKU-OUT-012-S,59.63,Outerwear,https://picsum.photos/730/274,3.1,0,6,1
34,"Sanders, Flores And Rosario Blazer M",SKU-OUT-012-M,59.63,Outerwear,https://picsum.photos/730/274,1.1,5,6,1
35,"Sanders, Flores And Rosario Blazer L",SKU-OUT-012-L,59.63,Outerwear,https://picsum.photos/730/274,1.3,3,3,0
36,Sosa-Watson Leggings S,SKU-BTM-013-S,138.45,Bottoms,https://dummyimage.com/180x262,3.1,1,3,1
37,Sosa-Watson Leggings M,SKU-BTM-013-M,138.45,Bottoms,https://dummyimage.com/180x262,3.2,2,5,1
38,Sosa-Watson Leggings L,SKU-BTM-013-L,138.45,Bottoms,https://dummyimage.com/180x262,4.8,7,5,0
39,Perry-Long Flats S,SKU-FOT-014-S,357.19,Footwear,https://dummyimage.com/383x444,3.9,2,3,1
40,Perry-Long Flats M,SKU-FOT-014-M,357.19,Footwear,https://dummyimage.com/383x444,1.7,10,6,0
41,Perry-Long Flats L,SKU-FOT-014-L,357.19,Footwear,https://dummyimage.com/383x444,2.0,6,3,0
42,Parker Ltd Scarf S,SKU-ACC-015-S,174.89,Accessories,https://picsum.photos/640/1006,2.3,9,2,0
43,Parker Ltd Scarf M,SKU-ACC-015-M,174.89,Accessories,https://picsum.photos/640/1006,2.3,1,3,1
44,Parker Ltd Scarf L,SKU-ACC-015-L,174.89,Accessories,https://picsum.photos/640/1006,1.4,5,5,0
45,Green Plc Shorts S,SKU-BTM-016-S,371.89,Bottoms,https://dummyimage.com/979x58,3.7,2,3,1
46,Green Plc Shorts M,SKU-BTM-016-M,371.89,Bottoms,https://dummyimage.com/979x58,4.8,7,2,0
47,Green Plc Shorts L,SKU-BTM-016-L,371.89,Bottoms,https://dummyimage.com/979x58,4.9,2,4,1
48,Mcdonald Llc Jumpsuit S,SKU-ONP-017-S,154.23,Dresses/One-Pieces,https://picsum.photos/888/106,1.2,1,6,1
49,Mcdonald Llc Jumpsuit M,SKU-ONP-017-M,154.23,Dresses/One-Pieces,https://picsum.photos/888/106,4.8,1,6,1
